250V_1	250C_1	200V_1	200C_1	166V_1	166C_1	140V_1	140C_1	100V_1	100C_1	050V_1	050C_1	036V_1	036C_1	025V_1	025C_1	020V_1	020C_1	017V_1	017C_1	014V_1	014C_1	010V_1	010C_1
-0.6	-4.52E-07	-1.95	-4.12E-05	-1.24	-2.88E-05	-0.4545	-3.72E-08	0.38	1.02E-08	0.38	7.23E-09	0.38	5.34E-09	0.38	3.27E-09	0.38	2.08E-09	0.38	2.02E-09	0.38	1.21E-09	0.38	8.00E-10
-0.5333	-2.74E-07	-1.9	-3.48E-05	-1.28	-3.58E-05	-0.4848	-4.61E-08	0.36	8.80E-09	0.36	6.35E-09	0.36	4.69E-09	0.36	2.83E-09	0.36	1.72E-09	0.36	1.80E-09	0.36	1.12E-09	0.36	7.12E-10
-0.4667	-1.58E-07	-1.85	-2.96E-05	-1.32	-4.31E-05	-0.5152	-5.69E-08	0.34	7.50E-09	0.34	5.54E-09	0.34	4.02E-09	0.34	2.43E-09	0.34	1.58E-09	0.34	1.68E-09	0.34	9.37E-10	0.34	6.03E-10
-0.4	-7.05E-08	-1.8	-2.57E-05	-1.36	-4.99E-05	-0.5455	-6.95E-08	0.32	6.55E-09	0.32	4.80E-09	0.32	3.43E-09	0.32	2.13E-09	0.32	1.37E-09	0.32	1.45E-09	0.32	8.22E-10	0.32	5.18E-10
-0.3333	-4.31E-08	-1.75	-2.25E-05	-1.4	-5.57E-05	-0.5758	-8.46E-08	0.3	5.67E-09	0.3	4.16E-09	0.3	2.96E-09	0.3	1.83E-09	0.3	1.16E-09	0.3	1.24E-09	0.3	6.93E-10	0.3	4.36E-10
-0.2667	-2.73E-08	-1.7	-1.97E-05	-1.44	-5.95E-05	-0.6061	-1.03E-07	0.28	4.81E-09	0.28	3.57E-09	0.28	2.52E-09	0.28	1.57E-09	0.28	1.06E-09	0.28	1.22E-09	0.28	6.03E-10	0.28	3.73E-10
-0.2	-1.68E-08	-1.65	-1.72E-05	-1.48	-6.29E-05	-0.6364	-1.24E-07	0.26	4.18E-09	0.26	3.09E-09	0.26	2.19E-09	0.26	1.33E-09	0.26	8.87E-10	0.26	1.06E-09	0.26	5.01E-10	0.26	3.25E-10
-0.1333	-8.74E-09	-1.6	-1.52E-05	-1.52	-6.50E-05	-0.6667	-1.49E-07	0.24	3.57E-09	0.24	2.63E-09	0.24	1.88E-09	0.24	1.14E-09	0.24	7.68E-10	0.24	8.91E-10	0.24	4.43E-10	0.24	2.70E-10
-0.0667	-3.62E-09	-1.55	-1.32E-05	-1.56	-6.61E-05	-0.697	-1.81E-07	0.22	3.05E-09	0.22	2.23E-09	0.22	1.58E-09	0.22	9.47E-10	0.22	6.41E-10	0.22	8.19E-10	0.22	3.60E-10	0.22	2.27E-10
0	1.07E-10	-1.5	-1.17E-05	-1.6	-6.67E-05	-0.7273	-2.13E-07	0.2	2.58E-09	0.2	1.84E-09	0.2	1.33E-09	0.2	8.01E-10	0.2	4.67E-10	0.2	7.37E-10	0.2	2.93E-10	0.2	1.92E-10
		-1.45	-1.03E-05	-1.64	-6.70E-05	-0.7576	-2.53E-07	0.18	2.13E-09	0.18	1.54E-09	0.18	1.11E-09	0.18	6.73E-10	0.18	4.57E-10	0.18	5.89E-10	0.18	2.36E-10	0.18	1.62E-10
		-1.4	-8.86E-06	-1.68	-6.56E-05	-0.7879	-2.96E-07	0.16	1.78E-09	0.16	1.29E-09	0.16	9.18E-10	0.16	5.52E-10	0.16	3.72E-10	0.16	5.06E-10	0.16	1.93E-10	0.16	1.34E-10
		-1.35	-7.55E-06	-1.72	-6.50E-05	-0.8182	-3.44E-07	0.14	1.45E-09	0.14	1.06E-09	0.14	7.45E-10	0.14	4.59E-10	0.14	2.99E-10	0.14	4.02E-10	0.14	1.50E-10	0.14	1.05E-10
		-1.3	-6.74E-06	-1.76	-6.47E-05	-0.8485	-3.95E-07	0.12	1.17E-09	0.12	8.37E-10	0.12	6.00E-10	0.12	3.62E-10	0.12	2.45E-10	0.12	3.38E-10	0.12	1.18E-10	0.12	8.52E-11
		-1.25	-5.88E-06	-1.8	-6.27E-05	-0.8788	-4.44E-07	0.1	8.91E-10	0.1	6.62E-10	0.1	4.65E-10	0.1	2.87E-10	0.1	1.88E-10	0.1	2.71E-10	0.1	8.84E-11	0.1	6.58E-11
		-1.2	-5.19E-06	-1.84	-6.22E-05	-0.9091	-4.99E-07	0.08	6.98E-10	0.08	5.00E-10	0.08	3.64E-10	0.08	2.17E-10	0.08	1.45E-10	0.08	1.81E-10	0.08	7.28E-11	0.08	5.18E-11
		-1.15	-4.65E-06	-1.88	-6.06E-05	-0.9394	-6.10E-07	0.06	5.02E-10	0.06	3.67E-10	0.06	2.59E-10	0.06	1.60E-10	0.06	1.05E-10	0.06	1.02E-10	0.06	5.54E-11	0.06	4.01E-11
